"","test","effect_xy","acc","error"
"1","chi_sq",-0.0999999999999999,0.5,0.0158113883008419
"2","chi_sq",-0.2,0.5,0.0158113883008419
"3","chi_sq",-0.3,0.5,0.0158113883008419
"4","chi_sq",-0.4,0.5,0.0158113883008419
"5","chi_sq",-0.5,0.5,0.0158113883008419
"6","chi_sq",-0.6,0.5,0.0158113883008419
"7","chi_sq",-0.7,0.5,0.0158113883008419
"8","chi_sq",0.1,0.5,0.0158113883008419
"9","chi_sq",0.2,0.501,0.0158113566780337
"10","chi_sq",0.3,0.5,0.0158113883008419
"11","chi_sq",0.4,0.501,0.0158113566780337
"12","chi_sq",1.11022302462516e-16,0.5,0.0158113883008419
"13","rf_arht",-0.0999999999999999,0.522,0.0157960754619621
"14","rf_arht",-0.2,0.526,0.0157899968334386
"15","rf_arht",-0.3,0.502,0.0158112618092295
"16","rf_arht",-0.4,0.509,0.0158088266484265
"17","rf_arht",-0.5,0.503,0.015811103693291
"18","rf_arht",-0.6,0.504,0.0158108823283206
"19","rf_arht",-0.7,0.501,0.0158113566780337
"20","rf_arht",0.1,0.543,0.0157528092732693
"21","rf_arht",0.2,0.571,0.0156511660907422
"22","rf_arht",0.3,0.583,0.0155920171882922
"23","rf_arht",0.4,0.566,0.0156730341670016
"24","rf_arht",1.11022302462516e-16,0.534,0.0157747900144503
"25","rf_pillai",-0.0999999999999999,0.551,0.0157289224042844
"26","rf_pillai",-0.2,0.53,0.0157829021412413
"27","rf_pillai",-0.3,0.519,0.0157999683543987
"28","rf_pillai",-0.4,0.511,0.0158075614817719
"29","rf_pillai",-0.5,0.504,0.0158108823283206
"30","rf_pillai",-0.6,0.508,0.0158093643135959
"31","rf_pillai",-0.7,0.491,0.0158088266484265
"32","rf_pillai",0.1,0.642,0.0151603430040352
"33","rf_pillai",0.2,0.66,0.0149799866488592
"34","rf_pillai",0.3,0.712,0.0143197765345692
"35","rf_pillai",0.4,0.724,0.0141359117144951
"36","rf_pillai",1.11022302462516e-16,0.564,0.0156813264745046
"37","rf_q3",-0.0999999999999999,0.55,0.0157321327225523
"38","rf_q3",-0.2,0.512,0.0158068339650924
"39","rf_q3",-0.3,0.505,0.0158105977116616
"40","rf_q3",-0.4,0.507,0.0158098387088547
"41","rf_q3",-0.5,0.518,0.0158011391994375
"42","rf_q3",-0.6,0.503,0.015811103693291
"43","rf_q3",-0.7,0.509,0.0158088266484265
"44","rf_q3",0.1,0.557,0.0157083099027235
"45","rf_q3",0.2,0.635,0.0152241584332271
"46","rf_q3",0.3,0.618,0.015364764885933
"47","rf_q3",0.4,0.629,0.0152760924322943
"48","rf_q3",1.11022302462516e-16,0.549,0.015735278834517
